Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year,"You walked
Through this horrid life
But you got to sing
Before you closed your eyes
And you whispered
Your secret in a megaphone
That's heard from the ocean
All the way to my home

A fearful song
Played by trumpets for my heart
I have a fear of darkness
So sing
Your hymn of faith cause I have none
Your song is my fortress

You gave
Me the strength to carry
My weak body
From the shore to the boat
And you kindly
Returned me toward the sea
When my bones become salt
I'll keep the secret you gave me

A fearful song
Played by trumpets for my heart
I have a fear of darkness
So sing
Your hymn of faith cause I have none
Your song is my fortress

A fearful song
It calls and calls for our heart
A certain love's what I offer
So sing out
Your hymn of faith cause I have none
Your song is my armor"
1990,Alannah Myles,Black Velvet,1,1/3/1990,"Mississippi in the middle of a dry spell
Jimmie Rodgers on the Victrola up high
Mama's dancin' with baby on her shoulder
The sun is settin' like molasses in the sky

The boy could sing, knew how to move, everything
Always wanting more, he'd leave you longing for

Black velvet and that little boy's smile
Black velvet with that slow southern style
A new religion that'll bring ya to your knees
Black velvet if you please

Up in Memphis, the music's like a heatwave
White lightning, bound to drive you wild
Mama's baby's in the heart of every schoolgirl
""Love Me Tender"" leaves 'em cryin' in the aisle

The way he moved, it was a sin, so sweet and true
Always wanting more, he'd leave you longing for

Black velvet and that little boy's smile
Black velvet with that slow southern style
A new religion that'll bring ya to your knees
Black velvet if you please

Every word of every song that he sang was for you
In a flash, he was gone, it happened so soon
What could you do?


Black velvet and that little boy's smile
Black velvet with that slow southern style
A new religion that'll bring ya to your knees
Black velvet if you please
Black velvet and that little boy's smile
Black velvet with that slow southern style
A new religion that'll bring ya to your knees
Black velvet if you please

If you please
If you please
If you please"
1990,George Michael,Praying For Time,1,8/29/1990,"These are the days of the open hand
They will not be the last
Look around now
These are the days of the beggars and the choosers
This is the year of the hungry man
Whose place is in the past
Hand in hand
With ignorance and legitimate excuses

The rich declare themselves poor
And most of us are not sure
If we have too much, but we'll take our chances
'Cause God's stopped keeping score
I guess somewhere along the way
He must have let us all out to play
Turned his back, and all God's children
Crept out the back door

And it's hard to love
There's so much to hate
Hanging on to hope
When there is no hope to speak of
And the wounded skies above
Say it's much, much too late
Well, maybe we should all be praying for time

These are the days of the empty hand
Oh, you hold on to what you can
And charity
Is a coat you wear twice a year
This is the year of the guilty man
Your television takes a stand
And you find
That what was over there is over here

So you scream from behind your door
Say, ""What's mine is mine and not yours
I may have too much, but I'll take my chances
'Cause God's stopped keeping score""
And you cling to the things they sold you
Did you cover your eyes when they told you
That He can't come back
'Cause He has no children to come back for?

It's hard to love
There's so much to hate
Hanging on to hope
When there is no hope to speak of
And the wounded skies above
Say it's much too late
So maybe we should all be praying for time"
1990,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,1,5/16/1990,"Better make tracks fast on the double
The girl's jazzy, but she's nothing but trouble!

Take her where she wants to go
And every day you let her know
She's the one who's always on your mind
But she just got some attitude
Leads you on then leaves you blue
Can't you see she's really just a waste, of, time?

One day she'll treat you nice
Then she'll turn as cold as ice
But you think your love will win her in the end
Think again!

She ain't worth it, girl ain't worth it
All this grief that she's been putting you through (Ooh)
She ain't worth it, girl ain't worth it
Believe me (I know)
I know better than (Better than)
Better than (Bet-bet-better than you)

She gets you hot then leaves you cold
Keeps you waiting on the phone
'Cause she know you'll always give her one, more, try
You're not the only boy in town
And she loves playing to the crowd
But tell me do you really like standing in line?

Give her everything you have
And all she does is make you sad
What she really wants to do is tell her friends
She did it again!

She ain't worth it, girl ain't worth it
All this grief that she's been putting you through (Ooh)
She ain't worth it, the girl ain't worth it
Believe me (I know)
I know better than (Better than)
Better than (Bet-bet-better than you)

I'd like to say
She used to be my girl
But that would be a lie (That would be a lie!)
'Cause there's no one in this whole wide world
That could keep her satisfied
I know, 'cause I tried (Yo man)

One thing I hate is when a girl plays fake
And tries to make me late for another date
'Cause I've tried to make you mine for the last time
So take this here as a diss and a goodbye
She ain't worth it even though she's on the high tip
She better get a grip, and get a grip quick
Fast in a hurry, 'cause I won't buckle
The girl's jazzy, but she's nothing but trouble!

Give her everything you have
And all she does is make you sad
What she really wants to do is tell her friends
She did it again!

She ain't worth it, girl ain't worth it
All this grief that she's been putting you through (Ooh)
She ain't worth it, the girl ain't worth it
Believe me (I know)
I know better than (Better than)
Better than (Bet-bet-better than you)
She ain't worth it, girl ain't worth it
All this grief that she's been putting you through (Ooh)
She ain't worth it, the girl ain't worth it (She's nothing but trouble)
Believe me (I know)
I know better than (Better than)
Better than (Bet-bet-better than you)

She ain't worth it, the girl ain't worth it
All this grief that she's been putting you (Putting you)
Putting you (Ooh) putting you through!
She ain't worth it, the girl ain't worth it (She's nothing but trouble)
Believe me (I know)
I know better than (Better than)
Better than (Bet-bet-better than you)"
1990,James Ingram,I Don't Have The Heart,1,8/1/1990,"Your face is beaming
You say it's 'cause you're dreaming
Of how good it's going to be
You say you've been around
And now you've finally found
Everything you wanted and needed in me

I don't have the heart
To hurt you
It's the last thing I wanna do
But I don't have the heart
To love you
Not the way you want me to

Inside I'm dying
To see you crying
How can I make you understand?
I care about you
So much about you, baby!
I'm trying to say this as gently as I can

'Cause I don't have the heart
To hurt you
It's the last thing I wanna do
But I don't have the heart
To love you
Not the way you want me to

You're so trusting
And open
Hoping that love will start
But I don't have the heart
Oh, no!
I don't have the heart

I don't have the heart
To hurt you
It's the last thing I wanna do
But I don't have the heart
To love you
Not the way that you want me to

I don't have the heart
Ooh!
Baby, I don't have the heart!
I don't have the heart
I don't have the heart
Ooh! Ooh!
Baby, I don't have the heart!
I don't have the heart
I don't have the heart
I don't have the heart
I don't have the heart"
1990,Janet Jackson,Black Cat,1,9/12/1990,"All the lonely nights, I spend alone
Never 'round to love me, you're always gone
'Cause you're hanging out, breaking the rules
Oh, the man has come lookin' for you
(You're a rebel now)
 Don't give a damn
(Always carrying on)
 With the gang
(I'm tryin' to tell you, boy)
 It's a mistake
(You won't realize)
 'Til it's too late

Don't understand why you insist
On ways of living such a dangerous life
Time after time, you stay away
And I just know that you're telling me lies

Black cat, nine lives, short days, long nights
Livin' on the edge, not afraid to die
Heartbeat, real strong, but not for long
Better watch your step or you're gonna die

You're so together, boy, but just at a glance
You'll do anything if given a chance
Scheming, planning lies to get what you need
So full of promises that you never keep
(Don't you tell yourself)
 That it's okay
(Sick and tired of)
 All of your games
(And you want me to stay)
 Ah, better change
(Makes no sense to me)
 Your crazy ways

Don't understand why you insist
On ways of living such a dangerous life
Time after time, you stay away
And I just know that you're telling me lies

Not afraid to die-ie, guitar


Black cat

Black cat
Man, I don't understand your ways
Livin' on the edge

Don't understand why you insist
On ways of living such a dangerous life
Time after time, you stay away
And I just know that you're telling me lies

Fellas
Black cat, nine lives, short days, long nights (Ah)
Livin' on the edge, not afraid to die
 (Talkin' 'bout the man)
Heartbeat, real strong, but not for long
Better watch your step or you're gonna die
Sing it up
Black cat, nine lives, short days, long nights
 (Yeah, yeah)
Livin' on the edge, not afraid to die
 (Come on and don't, don't you die)
Heartbeat, real strong, but not for long
Better watch your step or you're gonna die

Black cat
Livin' on the
Heartbeat
Better watch your step"
